run,geometry,factor,sign,value,perturbed,mesh,radius_m,sf_wale,sf_course,pressure,E1,r_ratio,nu,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
A0,disc,baseline,0,nan,nan,circular_flat.off,0.598460971503624,1.1,1.1,1000.0,5000.0,2.5014,0.198,0.16416714,0.27431553236885703,2167.27452118,1947.49040301,1.1128550455654656,91.60034986,0.0,0.0,0.0,nan,nan,0.8057985464902154,0.7678899637471213,0.8437071292333096,1.0987344138686466,0.06363469072047104
A1,disc,s_wale,1,1.1,1.1500000000000001,circular_flat.off,0.598460971503624,1.1500000000000001,1.1,1000.0,5000.0,2.5014,0.198,0.15352983,0.25654109008020803,2169.30076436,1958.08142384,1.1078705604110053,97.07311576,0.006880700823552741,0.010637840248137754,0.011497325892890032,nan,nan,0.7699770722250305,0.7469848148329163,0.7929693296171448,1.0615601734748974,0.059321512695149216
A2,disc,s_wale,-1,1.1,1.05,circular_flat.off,0.598460971503624,1.05,1.1,1000.0,5000.0,2.5014,0.198,0.17377576,0.29037108228359665,2190.45417346,1974.64429505,1.1092905081441697,89.46333131,0.0064523748779119665,0.009609168812738189,0.010781613480492261,nan,nan,0.8326187399605602,0.7751884252905914,0.8900490546305292,1.1481712388789609,0.06757573393460195
A3,disc,s_course,1,1.1,1.1500000000000001,circular_flat.off,0.598460971503624,1.1,1.1500000000000001,1000.0,5000.0,2.5014,0.198,0.13771637,0.2301175457674203,2613.59735796,2451.21877342,1.0662440196284255,118.06965164,0.016542937303101454,0.026452066193645426,0.027642466411030242,nan,nan,0.70088160317811,0.6709082336823331,0.7308549726738868,1.0893516221473856,0.052701854418165835
A4,disc,s_course,-1,1.1,1.05,circular_flat.off,0.598460971503624,1.1,1.05,1000.0,5000.0,2.5014,0.198,0.19247331,0.32161380468372697,1823.00566082,1540.63119888,1.1832849173412034,70.90082046,0.01791259909847285,0.02830817654829787,0.029931106540611527,nan,nan,0.904078246965524,0.865083888382411,0.943072605548637,1.0901516236905697,0.07606627913827758
A5,disc,pressure,1,1000.0,1050.0,circular_flat.off,0.598460971503624,1.1,1.1,1050.0,5000.0,2.5014,0.198,0.16922224,0.2827623655638424,2220.78991814,1987.56111544,1.1173442169341135,92.69317067,0.0031570088663840047,0.005055392441690371,0.005275212614871223,nan,nan,0.8251912637308437,0.7850320400341723,0.8653504874275152,1.102312317583683,0.06584092564043363
A6,disc,pressure,-1,1000.0,950.0,circular_flat.off,0.598460971503624,1.1,1.1,950.0,5000.0,2.5014,0.198,0.1589416,0.2655839019888994,2113.81095467,1907.48558449,1.1081661491219943,90.48744679,0.0032605751401390674,0.0052258338827597655,0.005448266963753579,nan,nan,0.785386116847584,0.7497749412602641,0.8209972924349037,1.0949916398311805,0.061380535416811904
A7,disc,E1,1,5000.0,5500.0,circular_flat.off,0.598460971503624,1.1,1.1,1000.0,5500.0,2.5014,0.198,0.15452965,0.25821174204851927,2277.14385405,2062.30862877,1.104172199196069,98.51850371,0.00601104802260068,0.009638017365443993,0.010044177162460593,nan,nan,0.7678613794371383,0.7341634277686462,0.8015593311056304,1.091799592281274,0.05949904733616512
A8,disc,E1,-1,5000.0,4500.0,circular_flat.off,0.598460971503624,1.1,1.1,1000.0,4500.0,2.5014,0.198,0.17518745,0.29272994955685117,2057.60593249,1832.92916827,1.1225779850685993,84.60111381,0.006885650712253518,0.011020993205668904,0.011505596922976327,nan,nan,0.8476300948674038,0.8047854364395228,0.8904747532952849,1.1064747359679654,0.06847964973575137
A9,disc,r,1,2.5014,2.75154,circular_flat.off,0.598460971503624,1.1,1.1,1000.0,5000.0,2.75154,0.198,0.15746152,0.2631107582577697,2297.00606909,2080.03277017,1.1043124425882325,97.17162905,0.004144414096414494,0.006706007936097298,0.006925120089287891,nan,nan,0.7785435444844402,0.7405069716151474,0.8165801173537329,1.1027311675036084,0.060732107149838364
A10,disc,r,-1,2.5014,2.25126,circular_flat.off,0.598460971503624,1.1,1.1,1000.0,5000.0,2.25126,0.198,0.17155208,0.28665541809514833,2038.70219578,1815.88646946,1.1227035555731961,85.97266873,0.004566736372770386,0.0073854139902377915,0.00763080065404521,nan,nan,0.8351490602735213,0.7980416414510625,0.8722564790959801,1.0929961969277373,0.0668967349007769
A11,disc,R,1,0.598460971503624,0.600460971503624,circular_flat_disc_Rp.off,0.6004609716366149,1.1,1.1,1000.0,5000.0,2.5014,0.198,0.16505996,0.2748887401459465,2170.85010204,1950.1669129,1.1131611800406522,91.98038719,0.0015270236094407155,0.001919155568316371,0.0003578424039237877,nan,nan,0.8044374250644344,0.7665037784032012,0.8423710717256675,1.098978368352619,0.06399695291243761
A12,disc,R,-1,0.598460971503624,0.596460971503624,circular_flat_disc_Rm.off,0.5964609713794683,1.1,1.1,1000.0,5000.0,2.5014,0.198,0.16327586,0.27374106242422347,2163.69916826,1944.8141852,1.1125480185848657,91.220715,0.0015264234633884676,0.001918974825395135,0.0003586045693499947,nan,nan,0.8071644845833508,0.7692812849760905,0.845047684190611,1.0984898511041712,0.06327367767631104
